OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00086228,Eastney and Craneswater,Portsmouth,South East,85,231,36.8000,
E00086290,Hilsea,Portsmouth,South East,29,381,7.6100,
E00086022,Charles Dickens,Portsmouth,South East,57,226,25.2200,
E00086494,St Jude,Portsmouth,South East,71,184,38.5900,
E00086073,Copnor,Portsmouth,South East,29,303,9.5700,
E00086269,Fratton,Portsmouth,South East,35,238,14.7100,
E00086526,St Thomas,Portsmouth,South East,58,305,19.0200,
E00086222,Eastney and Craneswater,Portsmouth,South East,52,288,18.0600,
E00086224,Eastney and Craneswater,Portsmouth,South East,24,337,7.1200,
E00086389,Nelson,Portsmouth,South East,35,326,10.7400,
E00086308,Hilsea,Portsmouth,South East,46,263,17.4900,
E00086483,St Jude,Portsmouth,South East,44,233,18.8800,
E00086402,Nelson,Portsmouth,South East,43,253,17.0000,
E00086396,Nelson,Portsmouth,South East,58,195,29.7400,
E00086332,Milton,Portsmouth,South East,44,272,16.1800,
E00086317,Hilsea,Portsmouth,South East,23,409,5.6200,
E00086051,Charles Dickens,Portsmouth,South East,34,278,12.2300,
E00086409,Nelson,Portsmouth,South East,31,309,10.0300,
E00086299,Hilsea,Portsmouth,South East,59,231,25.5400,
E00086461,St Jude,Portsmouth,South East,56,303,18.4800,
E00086218,Eastney and Craneswater,Portsmouth,South East,58,284,20.4200,
E00085965,Central Southsea,Portsmouth,South East,20,480,4.1700,
E00086098,Copnor,Portsmouth,South East,23,335,6.8700,
E00086074,Copnor,Portsmouth,South East,34,311,10.9300,
